"security_id","ticker","issuer_name","sec_cik","effective_from_utc","effective_to_utc","evidence_url","evidence_document","evidence_accession","evidence_raw_sha256","reviewer_status","reason"
"sp500-historical:0b7d64e16aebc56ee43eb002","WBA","Walgreens Boots Alliance, Inc.","0001618921","2019-07-09 04:00:00+00:00","2025-08-28 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1618921/000119312525159391/d10340d8k.htm","..\data\raw\sec_identity_evidence_20260802\WBA_0001193125-25-159391_d10340d8k.htm","0001193125-25-159391","e8155a9ad0e9be417bfc92e1a28aa87dba1dd963ad0d53d187b7e532cb8f2344","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:0e6b22be4f46feccf9993b1a","HFC","HollyFrontier","0000048039","2019-07-09 04:00:00+00:00","2021-06-04 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/48039/000004803921000037/hfc-20210512.htm","..\data\raw\sec_identity_evidence_20260802\HFC_0000048039-21-000037_targeted_hfc-20210512.htm","0000048039-21-000037","a591449081b3d38224b1e14213b13acef4906ecdddbb3ea28eeb4367d54673a3","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:1162a39672a4eb6ba315dc35","RTN","Raytheon","0001047122","2019-07-09 04:00:00+00:00","2020-04-06 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1047122/000104712219000171/rtn-07252019x8k.htm","..\data\raw\sec_identity_evidence_20260802\RTN_0001047122-19-000171_targeted_rtn-07252019x8k.htm","0001047122-19-000171","58ffd50c9465fd1f9aa475f4e79c0b97966e74b4311cad8529e78b511aada0ab","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:183d197c1c5a086c24d23cdf","INFO","IHS Markit","0001598014","2019-07-09 04:00:00+00:00","2022-03-02 05:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1598014/000159801420000210/info-20201110.htm","..\data\raw\sec_identity_evidence_20260802\INFO_0001598014-20-000210_targeted_info-20201110.htm","0001598014-20-000210","4cfae453964ecec5cda962a08ab033ebd341cfab5c9eb19676fd7f72afc43c0e","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:18d05980c1c5de768e2264e3","GPS","GAP INC","0000039911","2019-07-09 04:00:00+00:00","2022-02-03 05:00:00+00:00","https://www.sec.gov/Archives/edgar/data/39911/000003991121000132/gps-20211030.htm","..\data\raw\sec_identity_evidence_20260802\GPS_0000039911-21-000132_gps-20211030.htm","0000039911-21-000132","e498783948106acc568f685157a232ddfe8081ec17c3d9c6c75bb454c6e86ad5","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:1c158c11ac3317be6f63321a","TSS","Total System Services","0000721683","2019-07-09 04:00:00+00:00","2019-09-23 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/721683/000072168319000057/tss-20190731x8k.htm","..\data\raw\sec_identity_evidence_20260802\TSS_0000721683-19-000057_targeted_tss-20190731x8k.htm","0000721683-19-000057","6a3ff414c9d6a50a06b30149c393f02773b06bf763bdf08f589b7d6c10c621b0","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:1e86d2f1a312cb5d9bc916a6","HBI","Hanesbrands Inc.","0001359841","2019-07-09 04:00:00+00:00","2021-12-20 05:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1359841/000119312521337693/d436919d8k.htm","..\data\raw\sec_identity_evidence_20260802\HBI_0001193125-21-337693_d436919d8k.htm","0001193125-21-337693","1dbbb26a88ac7158a03dbe9cd676a01baeaf13d80226e6b361a9581fd5d19649","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:29d9b35fd5c50ee0f79ccc71","SIVB","SVB FINANCIAL GROUP","0000719739","2019-07-09 04:00:00+00:00","2023-03-15 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/719739/000119312523070254/d487554d8k.htm","..\data\raw\sec_identity_evidence_20260802\SIVB_0001193125-23-070254_d487554d8k.htm","0001193125-23-070254","da08544d05b1ffbce352e7038052a0dc180938a050627cd7ec7b432a49909fab","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:3630f8fcc1aa888bc6305b78","CXO","Concho Resources","0001358071","2019-07-09 04:00:00+00:00","2021-01-21 05:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1358071/000135807120000058/cxo-20201027.htm","..\data\raw\sec_identity_evidence_20260802\CXO_0001358071-20-000058_targeted_cxo-20201027.htm","0001358071-20-000058","3f09c1b1fd5eeb99a2e2e42d4f96289de4beac382eff6db64023862173e35739","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:3a987add09215ebdeb70d8b4","VAR","Varian Medical Systems","0000203527","2019-07-09 04:00:00+00:00","2021-04-20 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/203527/000020352720000010/var-20200504.htm","..\data\raw\sec_identity_evidence_20260802\VAR_0000203527-20-000010_targeted_var-20200504.htm","0000203527-20-000010","50c6017f40a7de2902eea95d4a86b698c47a75ea8db3a4a74e65ded11112b391","approved","official_sec_filing_cover_lists_trading_symbol"
